check_id,subcheck,tool,coverage,tested,result,machine_readable,offline,recommended_role,notes
CHK-01,Application Name,package-native metadata tools,FULL,yes,PASS,structured text,OFFLINE_FULL,PRIMARY,DEB and RPM identity verified
CHK-01,Package ID,dpkg-deb/rpm,FULL,yes,PASS,structured text,OFFLINE_FULL,PRIMARY,Native package headers
CHK-01,Version,dpkg-deb/rpm/FILENAME manifests,FULL,yes,PASS,structured text,OFFLINE_FULL,PRIMARY,Ecosystem-specific
CHK-01,Architecture,file/readelf/dpkg-deb/rpm,FULL,yes,PASS,structured text,OFFLINE_FULL,PRIMARY,Multiple evidence sources
CHK-01,Package Type,file,FULL,yes,PASS,text,OFFLINE_FULL,PRIMARY,Magic-based identification
CHK-01,Runtime and Framework,file/binutils/manifests,PARTIAL,yes,PASS,text,OFFLINE_FULL,SUPPLEMENTARY,Requires evidence-based inference
CHK-01,Primary Executable,package manifests and desktop entry,PARTIAL,yes,PASS,structured text,OFFLINE_FULL,SUPPLEMENTARY,Framework-specific
CHK-01,SHA256,sha256sum,FULL,yes,PASS,text,OFFLINE_FULL,PRIMARY,Deterministic digest
CHK-01,Build ID,readelf,FULL,yes,PASS,text,OFFLINE_FULL,PRIMARY,ELF note tested
CHK-01,Entry Point,readelf and manifests,PARTIAL,yes,PASS,text,OFFLINE_FULL,SUPPLEMENTARY,ELF address or declared command
CHK-01,Bundled Runtime,file/find/manifests,INDIRECT,yes,PASS,text,OFFLINE_FULL,SUPPLEMENTARY,Inventory plus inference
CHK-02,DEB metadata,dpkg-deb,FULL,yes,PASS,structured text,OFFLINE_FULL,PRIMARY,Fields files control and hooks tested
CHK-02,RPM metadata,rpm,FULL,yes,PASS,structured text,OFFLINE_FULL,PRIMARY,Info requires files scripts tested
CHK-02,AppImage metadata,file/unsquashfs,PARTIAL,no,NOT_TESTED,text,NOT_TESTED,FALLBACK,No authentic AppImage sample in Batch 1
CHK-02,Snap metadata,unsquashfs plus manifest parser,FULL,yes,PASS,text,OFFLINE_FULL,PRIMARY,Synthetic SquashFS snap.yaml tested
CHK-02,Flatpak metadata,INI parser,PARTIAL,yes,PASS,structured text,OFFLINE_FULL,FALLBACK,Raw metadata tested; bundle CLI not tested
CHK-02,desktop entry,desktop-file-validate plus INI parser,FULL,yes,PASS,text,NOT_TESTED,PRIMARY,Validation and field extraction are separate
CHK-02,package.json,jq,FULL,yes,PASS,JSON,OFFLINE_FULL,PRIMARY,Native JSON
CHK-02,MANIFEST.MF,text parser,PARTIAL,yes,PASS,structured text,OFFLINE_FULL,FALLBACK,No dedicated validator tested
CHK-02,Dependencies,dpkg-deb/rpm/manifests,FULL,yes,PASS,structured text,OFFLINE_FULL,PRIMARY,Native package declarations
CHK-02,Scripts and Hooks,dpkg-deb/rpm,FULL,yes,PASS,text,OFFLINE_FULL,PRIMARY,Read-only query; scripts not executed
CHK-03,SetUID,find/stat,FULL,yes,PASS,text,OFFLINE_FULL,PRIMARY,Synthetic mode 4755 detected
CHK-03,SetGID,find/stat,FULL,yes,PASS,text,OFFLINE_FULL,PRIMARY,Mode query supports it
CHK-03,Linux File Capabilities,getcap,FULL,yes,PASS,text,NOT_TESTED,PRIMARY,Xattr detected; offline rerun not completed
CHK-03,Ownership,stat/find,FULL,yes,PASS,text,OFFLINE_FULL,PRIMARY,Raw metadata only
